feature,importance
HYG_rsi14,0.0
HYG_macd,0.0
HYG_macd_signal,0.0
HYG_macd_hist,0.0
HYG_bb_upper,0.0
HYG_bb_middle,0.0
HYG_bb_lower,0.0
HYG_bb_position,0.0
HYG_bb_width,0.0
HYG_stochastic,0.0
HYG_mom_5,0.0
HYG_mom_10,0.0
HYG_mom_20,0.0
HYG_mom_60,0.0
HYG_mom_120,0.0
HYG_roc_10,0.0
HYG_roc_20,0.0
HYG_mom_acceleration,0.0
HYG_vol_5,0.0
HYG_vol_10,0.0
HYG_vol_20,0.0
HYG_vol_60,0.0
HYG_vol_parkinson,0.0
HYG_volvol_20,0.0
HYG_downside_vol_20,0.0
HYG_vol_asymmetry,0.0
HYG_dd_20,0.0
HYG_dd_60,0.0
HYG_dd_120,0.0
HYG_dd_252,0.0
HYG_days_since_high_60,0.0
HYG_days_since_high_120,0.0
HYG_sharpe_20,0.0
HYG_sharpe_60,0.0
HYG_sortino_20,0.0
HYG_sortino_60,0.0
HYG_calmar,0.0
HYG_ma_5_20_cross,0.0
HYG_ma_10_50_cross,0.0
HYG_ma_20_60_cross,0.0
HYG_ma_50_200_cross,0.0
HYG_adx_14,0.0
HYG_adx_28,0.0
HYG_trend_slope_20,0.0
HYG_trend_slope_60,0.0
HYG_skew_20,0.0
HYG_skew_60,0.0
HYG_kurt_20,0.0
HYG_kurt_60,0.0
HYG_autocorr_1,0.0
HYG_autocorr_5,0.0
HYG_autocorr_10,0.0
HYG_mkt_corr_20,0.0
HYG_mkt_corr_60,0.0
HYG_mkt_corr_120,0.0
HYG_beta_60,0.0
HYG_beta_120,0.0
HYG_rel_strength_20,0.0
HYG_rel_strength_60,0.0
HYG_rel_vol,0.0
ew_value,0.0
ew_vol_5,0.0
ew_vol_20,0.0
ew_vol_60,0.0
ew_ret_5,0.0
ew_ret_20,0.0
ew_ret_60,0.0
ew_dd_60,0.0
ew_dd_120,0.0
ew_dd_252,0.0
ew_sharpe_20,0.0
ew_sharpe_60,0.0
avg_correlation_60,0.0
regime_0,0.0
regime_1,0.0
regime_2,0.0
