feature,importance
IEF_rsi14,0.0
IEF_macd,0.0
IEF_macd_signal,0.0
IEF_macd_hist,0.0
IEF_bb_upper,0.0
IEF_bb_middle,0.0
IEF_bb_lower,0.0
IEF_bb_position,0.0
IEF_bb_width,0.0
IEF_stochastic,0.0
IEF_mom_5,0.0
IEF_mom_10,0.0
IEF_mom_20,0.0
IEF_mom_60,0.0
IEF_mom_120,0.0
IEF_roc_10,0.0
IEF_roc_20,0.0
IEF_mom_acceleration,0.0
IEF_vol_5,0.0
IEF_vol_10,0.0
IEF_vol_20,0.0
IEF_vol_60,0.0
IEF_vol_parkinson,0.0
IEF_volvol_20,0.0
IEF_downside_vol_20,0.0
IEF_vol_asymmetry,0.0
IEF_dd_20,0.0
IEF_dd_60,0.0
IEF_dd_120,0.0
IEF_dd_252,0.0
IEF_days_since_high_60,0.0
IEF_days_since_high_120,0.0
IEF_sharpe_20,0.0
IEF_sharpe_60,0.0
IEF_sortino_20,0.0
IEF_sortino_60,0.0
IEF_calmar,0.0
IEF_ma_5_20_cross,0.0
IEF_ma_10_50_cross,0.0
IEF_ma_20_60_cross,0.0
IEF_ma_50_200_cross,0.0
IEF_adx_14,0.0
IEF_adx_28,0.0
IEF_trend_slope_20,0.0
IEF_trend_slope_60,0.0
IEF_skew_20,0.0
IEF_skew_60,0.0
IEF_kurt_20,0.0
IEF_kurt_60,0.0
IEF_autocorr_1,0.0
IEF_autocorr_5,0.0
IEF_autocorr_10,0.0
IEF_mkt_corr_20,0.0
IEF_mkt_corr_60,0.0
IEF_mkt_corr_120,0.0
IEF_beta_60,0.0
IEF_beta_120,0.0
IEF_rel_strength_20,0.0
IEF_rel_strength_60,0.0
IEF_rel_vol,0.0
ew_value,0.0
ew_vol_5,0.0
ew_vol_20,0.0
ew_vol_60,0.0
ew_ret_5,0.0
ew_ret_20,0.0
ew_ret_60,0.0
ew_dd_60,0.0
ew_dd_120,0.0
ew_dd_252,0.0
ew_sharpe_20,0.0
ew_sharpe_60,0.0
avg_correlation_60,0.0
regime_0,0.0
regime_1,0.0
regime_2,0.0
