date,signal_strategy,equal_weight
2021-01-05,1007725.6758814765,1007725.6758814765
2021-01-06,996050.5809741525,996050.5809741525
2021-01-07,1020765.0938196857,1020765.0938196857
2021-01-08,1028483.8246990547,1028483.8246990547
2021-01-11,1015778.5430019865,1015778.5430019865
2021-01-12,1015127.6453435131,1016500.0179840485
2021-01-13,1025842.7312536858,1023352.8988606847
2021-01-14,1022418.9844625129,1017556.754345059
2021-01-15,1014090.6747964099,1008334.4742562488
2021-01-19,1025984.3252276146,1021087.3208962374
2021-01-20,1040055.2707254173,1039892.4578400531
2021-01-21,1057524.3866255623,1054443.6343264002
2021-01-22,1057127.532023918,1049267.5178835646
2021-01-25,1068788.3906587746,1056409.215337022
2021-01-26,1071537.3632582775,1058765.7532762762
2021-01-27,1034887.0636964762,1034533.469724195
2021-01-28,1040860.4113434105,1035565.6361293872
2021-01-29,1024550.5464891666,1017071.4763966394
2021-02-01,1045172.0069996273,1038950.4382650374
2021-02-02,1056498.126966964,1052147.0198803083
2021-02-03,1055077.3979100313,1053307.5325141808
2021-02-04,1061121.7461955093,1058887.4952701975
2021-02-05,1062110.8457774871,1060842.398688081
2021-02-08,1080662.9781299508,1070956.2491031564
2021-02-09,1075943.5728843182,1068273.2128318176
2021-02-10,1075668.9459420235,1067997.2588212148
2021-02-11,1082945.3756866695,1073852.358167028
2021-02-12,1085271.906153334,1076981.725660992
2021-02-16,1086636.3116332614,1075367.9198903698
2021-02-17,1080821.7705931324,1071014.4079369039
2021-02-18,1073270.6636250257,1065453.6445865438
2021-02-19,1069475.7944120634,1062196.7099652176
2021-02-22,1051122.352858893,1037603.6810607794
2021-02-23,1051929.8037700532,1036699.4308696585
2021-02-24,1059144.556626419,1048101.7103913374
2021-02-25,1026635.4522069179,1011946.0196641851
2021-02-26,1031462.9751625814,1017779.8017110637
2021-03-01,1056945.8385415175,1041888.806939112
2021-03-02,1041274.8535918711,1026060.6110953367
2021-03-03,1018458.1185183414,1003431.4963297583
2021-03-04,1002046.4933633473,989860.4252805518
2021-03-05,1016385.7395372175,1000357.0808299467
2021-03-08,994753.4550622286,973573.1930733304
2021-03-09,1024552.8148896561,1013975.9594496326
2021-03-10,1022797.0974238701,1011207.5703429191
2021-03-11,1036235.5288263989,1032558.4505765854
2021-03-12,1027715.1294401387,1025172.1996321065
2021-03-15,1041156.9985060395,1034564.0817260073
2021-03-16,1046414.7627675894,1037918.1595175214
2021-03-17,1052557.6165398732,1044068.2178003107
2021-03-18,1012963.489609382,1015331.6289954447
2021-03-19,1020269.8335780944,1021147.2481313194
2021-03-22,1033835.944934231,1035260.5338254075
2021-03-23,1028710.0802133771,1028814.6468463064
2021-03-24,1013158.7483358614,1012934.8144277736
2021-03-25,1009407.0874802439,1011664.9152429228
2021-03-26,1020547.2947421687,1020574.8986989734
2021-03-29,1022720.908417426,1022051.9534267791
2021-03-30,1017741.6171935892,1018843.7657986383
2021-03-31,1029549.490191317,1033894.2190451402
2021-04-01,1039919.5041270669,1048902.0498352386
2021-04-05,1062291.7794499688,1068952.3784325216
2021-04-06,1058876.1510365854,1065782.0615082812
2021-04-07,1065659.13575002,1072153.096932659
2021-04-08,1076932.5627995883,1081144.4401216325
2021-04-09,1078083.25209195,1086885.5329618386
2021-04-12,1085972.6344476503,1084523.6124381055
2021-04-13,1108069.7307680796,1098903.435097717
2021-04-14,1091000.942733051,1084657.0065141274
2021-04-15,1110807.015200448,1103710.7997366828
2021-04-16,1106911.519614052,1102361.3786791633
2021-04-19,1096179.0089434804,1092247.0866923088
2021-04-20,1087696.7534367954,1084675.2243591025
2021-04-21,1100142.8994720476,1094870.202837063
2021-04-22,1082470.2941368439,1079632.6972982124
2021-04-23,1096273.9270118894,1090409.817575854
2021-04-26,1104320.9807169924,1097188.6203516617
2021-04-27,1100903.236085271,1090957.4328302103
2021-04-28,1100871.425022382,1089471.0379142072
2021-04-29,1109389.4563335641,1095291.7911524242
2021-04-30,1096804.946849193,1089060.4910657257
2021-05-03,1092324.521188892,1081293.0980732657
2021-05-04,1078540.0030661174,1067219.9092520536
2021-05-05,1077878.5654190881,1066059.05677811
2021-05-06,1085399.5958075374,1072657.9144010143
2021-05-07,1090412.983965911,1079534.6486143144
2021-05-10,1069168.4291487199,1053948.4629255687
2021-05-11,1065452.2413750405,1050007.5423897426
2021-05-12,1044497.0078975442,1026903.8965356289
2021-05-13,1050359.1788902793,1029838.1747842822
2021-05-14,1067192.6869025899,1050176.6964076045
2021-05-17,1065335.0140160387,1047134.0131452624
2021-05-18,1057371.287929106,1040395.3253460828
2021-05-19,1060225.7725615068,1041289.8620483349
2021-05-20,1076133.0550238423,1057809.9082717376
2021-05-21,1069702.6944101427,1054774.4353681288
2021-05-24,1093979.8011941386,1071982.1890829208
2021-05-25,1095889.1892145898,1073659.2403673644
2021-05-26,1102119.2181145651,1076942.6727667255
2021-05-27,1103607.2977436634,1076481.7491502701
2021-05-28,1106388.6260510967,1079122.4979790272
2021-06-01,1107292.1369213273,1079460.0812042083
2021-06-02,1114314.6770554231,1082462.1498989908
2021-06-03,1105982.0587917354,1070914.7105989903
2021-06-04,1122958.9846619403,1087969.3043289285
2021-06-07,1121688.4840287936,1090978.647096054
2021-06-08,1121751.3614152737,1090762.4237877915
2021-06-09,1119821.764698418,1089389.075338299
2021-06-10,1130371.0246403,1097951.5958518381
2021-06-11,1134264.7347779998,1100821.2930111247
2021-06-14,1142813.0670581318,1108866.0324057722
2021-06-15,1134016.6431696035,1102420.6020616547
2021-06-16,1132844.7596258323,1099232.9260153538
2021-06-17,1157058.891452554,1114165.6362567958
2021-06-18,1151321.3676897942,1106563.646861318
2021-06-21,1147138.4735970416,1109171.233058331
2021-06-22,1158150.0541689019,1118190.1462350704
2021-06-23,1170260.021960907,1121395.7047283198
2021-06-24,1184054.0899451282,1129469.8503091088
2021-06-25,1177936.6438450308,1125453.633481917
2021-06-28,1196644.9241724866,1141364.586857556
2021-06-29,1203015.1253687758,1143041.9538672855
2021-06-30,1211721.9162661117,1144268.8280390997
2021-07-01,1215173.8437490747,1146824.8238787327
2021-07-02,1229435.2663749151,1159015.1316907175
2021-07-06,1226287.8245444128,1161478.850521361
2021-07-07,1227103.7626419568,1158349.1841052247
2021-07-08,1219362.6451224268,1151415.894317841
2021-07-09,1226721.2147012223,1158891.2538794293
2021-07-12,1232291.4458596513,1166828.092791304
2021-07-13,1228423.5505939354,1163229.29359512
2021-07-14,1229082.761002512,1161214.9565073103
2021-07-15,1220034.3967218008,1150125.304123675
2021-07-16,1210207.6024347867,1139015.5932641386
2021-07-19,1200714.6913833735,1133068.6387210023
2021-07-20,1208186.0350031436,1143290.0027187492
2021-07-21,1223397.206092517,1153705.7200067104
2021-07-22,1233990.3180508802,1160631.9892456168
2021-07-23,1247119.335735212,1167900.7743169458
2021-07-26,1249246.586259323,1172556.9082601548
2021-07-27,1233718.7929013963,1161452.55138747
2021-07-28,1254188.6707223326,1172008.112747306
2021-07-29,1275174.3003613001,1178653.494700205
2021-07-30,1279983.0790369578,1173244.9666683695
2021-08-02,1292372.9243088288,1177937.2834747015
2021-08-03,1300755.2671440442,1186125.008256074
2021-08-04,1315539.335502537,1192317.685486262
2021-08-05,1314826.7682304133,1194605.5262836544
2021-08-06,1304125.345750955,1187912.4734492037
2021-08-09,1301831.550430834,1187222.7528647177
2021-08-10,1289731.3455013272,1182512.7552727384
2021-08-11,1289432.79955627,1182372.838400285
2021-08-12,1297899.8395467028,1187387.788579312
2021-08-13,1302793.567632232,1193567.068679291
2021-08-16,1298307.4384333638,1189699.3773674555
2021-08-17,1280819.835832113,1177127.7351791263
2021-08-18,1268947.3881360118,1167477.6998786824
2021-08-19,1276231.8143159945,1170830.063106521
2021-08-20,1291363.967278926,1182584.635058724
2021-08-23,1310774.353961694,1202614.1540178163
2021-08-24,1306405.9764256268,1204314.4682257287
2021-08-25,1312009.5757100852,1206810.6737749504
2021-08-26,1303081.7068140055,1199875.0495865373
2021-08-27,1325552.850908658,1214902.8719163453
2021-08-30,1339222.787646661,1226095.7926439573
2021-08-31,1333840.503482608,1224738.219790496
2021-09-01,1335871.6217794784,1226068.896052492
2021-09-02,1333176.211303218,1223501.9896107607
2021-09-03,1337668.3315573041,1227027.0697952162
2021-09-07,1345506.9227174786,1230861.2513237332
2021-09-08,1336578.4684685227,1224951.0482948136
2021-09-09,1333043.421092258,1221423.1308482515
2021-09-10,1324758.9478515564,1213825.2533191184
2021-09-13,1329570.5578800112,1216657.821107511
2021-09-14,1328409.5100688478,1216376.414968697
2021-09-15,1334081.1950330418,1223241.293148223
2021-09-16,1333140.3174441105,1222193.1172423996
2021-09-17,1319781.3923506509,1208452.3534480457
2021-09-20,1297411.0517226255,1185488.5168587414
2021-09-21,1301427.684654224,1189383.9335774786
2021-09-22,1304464.9861830454,1198369.3655398823
