,rl_portfolio_value,benchmark_portfolio_value
0,1000000.0,1000000.0
1,1006084.4559745956,977123.3982292956
2,1021092.1587308386,984683.380350442
3,1068378.874899147,999490.8461289242
4,1107659.7764443336,1015234.1388558294
5,1154168.9414610125,1042913.4936819313
6,1229727.9121105843,1061257.8847120127
7,1293800.1422286774,1057592.3487585823
8,1299718.5789791776,1064178.974091948
9,1323603.4614695967,1079729.1398945798
10,1330314.1205668203,1095911.9465839725
11,1354600.3254736161,1127366.3169400909
12,1382248.5656762263,1160633.1090325213
13,1439937.4057540454,1167893.2061356371
14,1480853.8514354895,1176361.310428965
15,1564183.9831747042,1196288.985642206
16,1629057.150858289,1218308.1563729204
17,1668834.2658195728,1256840.5040802185
18,1679846.5045223555,1301859.742903612
19,1645636.9123715463,1349216.6482711893
20,1629328.3233077496,1378688.0288648405
21,1594915.3117129004,1387076.5954791706
22,1552056.3344069056,1387314.1148841837
23,1540081.107023955,1422870.2949204652
24,1555840.752622602,1459713.6260180883
25,1547678.1777421103,1505792.7860675137
26,1564171.7090378713,1579474.9735950008
27,1614588.7080565693,1648976.9382618903
28,1656508.7764355687,1679015.5182298876
29,1678403.72301146,1710177.7734647968
30,1705734.0992217672,1722309.174560657
31,1701719.111680503,1735582.378400211
32,1692848.5482926352,1747741.8393192673
33,1715397.2071316163,1792526.7363372757
34,1795540.8292574694,1835240.662806312
35,1876133.8795930091,1926401.6176224167
36,1983757.092799068,2009655.6900364722
37,2096010.115888213,2078368.9450231027
38,2159867.4379245373,2116464.490088338
39,2105936.8400968937,2108749.9646478468
40,2046685.8821657065,2096846.2147892476
41,1973152.17707604,2056853.8355815802
42,1909724.4145018994,1996235.6461563276
43,1869660.7012482313,1967063.5085649774
44,1909128.2371124446,1972608.3269765878
45,2016345.291853716,1956179.5983038435
46,2114135.855128845,1980811.2061932539
47,2200369.3870215546,2042699.5474884952
48,2204441.954846796,2071919.139949167
49,2203974.560633975,2082184.6032850686
50,2139971.8791718185,2097498.3150267964
51,2113955.5754363127,2076581.7489367598
52,2064336.1077693105,2057041.506379553
53,2035843.9637707565,2073687.734776632
54,1999742.5141847557,2139960.054533809
55,1942122.6656475607,2206254.3012724905
56,1892634.3162140436,2300145.2229787814
57,1841042.2549388348,2401936.8698248114
58,1790762.6416447982,2468016.537756447
59,1708111.393403804,2438818.9599114535
60,1640345.2402009107,2408245.508078109
61,1586474.8534131586,2361016.724434054
62,1544866.2160351467,2315335.5938536804
63,1572288.8026339316,2272915.025381741
64,1586492.5390442933,2281538.013606543
65,1616089.2225473505,2343576.9862582954
66,1626253.2189794853,2399728.5132331466
67,1692986.5089338238,2435637.3854680136
68,1725976.6174352595,2415170.8375998433
69,1805001.5049279993,2406187.3151233704
70,1879002.2017592862,2351792.5323947603
71,1953876.840979255,2316892.233774813
72,1957833.0447830341,2272275.2277892777
73,1952150.7540176765,2248465.617288708
74,1938518.3706046427,2221405.510234964
75,1955997.0893716693,2175435.899067254
76,1935182.0134163373,2141829.3711541183
77,1951325.7047872322,2101390.6297997423
78,1993651.9734774388,2062416.475007329
79,1996864.6045882688,1996779.4013180472
80,1969402.7511365898,1943584.4671614012
81,1959136.8705596128,1898349.788682038
82,1891551.41011283,1867875.2336377236
83,1765711.597311891,1896981.3383733197
84,1685531.2119004547,1910670.4676572985
85,1619367.5178193317,1939875.945960976
86,1539410.4854318423,1953235.8514377493
87,1501511.009181778,2013559.2009448588
88,1527237.583586355,2047194.2929455254
89,1552898.2460211639,2127637.176984631
90,1587509.8589817374,2200450.3992614537
91,1613561.1849253671,2270037.025839544
92,1664926.464538848,2273545.861677555
93,1683990.2723425543,2264007.12718858
94,1743729.6375095116,2247107.9338113153
95,1788056.4573415162,2253105.6664918326
96,1883873.9405051966,2231566.8574244
97,1965084.4809076283,2246420.5081848283
98,2037376.3568815282,2279256.8152094143
99,2020253.8110811815,2275367.145025591
100,2027870.6335801983,2246592.5115100886
101,2008466.7684782317,2225743.6422663773
102,1921077.7883907126,2154311.3513389137
103,1830451.712338713,2035330.919527004
104,1757508.9280102297,1953079.864734057
105,1671504.9982293001,1883218.7402690945
106,1612431.2353238587,1799519.2252089987
107,1534951.3673397603,1753708.0147890353
108,1436943.3358339074,1759615.719018682
109,1388821.8301946062,1772280.271683524
110,1344497.7957062298,1789971.9050632957
111,1294110.708281636,1803371.9138267045
112,1328628.1074276296,1838491.1396283202
113,1416541.1929473286,1853839.3632576829
114,1513282.6115987238,1893055.6123052605
115,1610810.7402105934,1924234.5436257275
116,1720260.2630494994,1997984.8893509232
117,1792652.4486846365,2061010.8088183946
118,1831737.7295967685,2117398.645039222
119,1884298.603794608,2113040.308988932
120,1937269.8052290396,2122949.9761687177
121,2023446.162394048,2107284.028354979
122,2108973.4281309573,2038701.1110674443
123,2225206.914406153,1967518.788852136
124,2299434.97991064,1902775.3563144058
125,2396622.1146112415,1827283.2955817466
126,2428714.8036992983,1783016.8542867694
127,2471971.838283207,1729035.7445603856
128,2490836.3788714176,1656274.7433044203
129,2501007.754282174,1628064.8055291579
130,2504013.818015132,1607836.6993712317
131,2504804.1189735453,1580505.7982491264
132,2459477.165306179,1623578.293614028
133,2419754.6477222918,1719170.747635332
134,2349092.738227798,1819785.2130893867
135,2272372.0521490714,1918024.0175401126
136,2182388.471691066,2028972.9471406303
137,2180908.432848386,2105668.524463833
138,2200050.332738248,2141898.463956797
139,2276958.070501202,2193831.267801779
140,2373888.084576007,2238553.658024145
