asset,signal,confidence,direction,weight,weight_pct,dollars,current_price,shares
AAPL,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,286.19,23
NVDA,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,181.46,36
TSLA,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,429.24,15
MSFT,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,490.0,13
GOOGL,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,315.81,21
AMZN,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,234.42,28
META,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,647.1,10
SPY,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,681.53,9
QQQ,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,622.0,10
EFA,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,95.04,70
IEF,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,96.77,68
HYG,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,80.62,82
BIL,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,91.48,72
INTC,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,43.47,153
AMD,0,0,NEUTRAL,0.06666666666666668,6.666666666666668,6666.666666666668,215.24,30
