asset,signal,model_signal,momentum_signal,confidence,direction,weight,weight_pct,dollars,current_price,shares
AAPL,0.054075064000000006,0.02345844,0.1,0.9460121939598192,LONG,0.10023299299958946,10.023299299958946,10023.299299958946,286.19,35
META,0.04835035600000001,0.01391726,0.1,0.8767601554200701,LONG,0.095534289169859,9.553428916985899,9553.4289169859,647.1,14
QQQ,0.04409101000000001,0.00681835,0.1,0.9508152938309997,LONG,0.0920383195304735,9.20383195304735,9203.83195304735,622.0,14
SPY,0.04290552358000001,0.0048425393,0.1,1.0,LONG,0.09106530054299895,9.106530054299895,9106.530054299896,681.53,13
EFA,0.04285111330000001,0.0047518555,0.1,0.9502530433345311,LONG,0.0910206418825026,9.10206418825026,9102.06418825026,95.04,95
GOOGL,0.04244667280000001,0.004077788,0.1,0.792386991984384,LONG,0.090688686763351,9.0688686763351,9068.8686763351,315.81,28
HYG,0.040360784020000005,0.0006013067,0.1,1.0,LONG,0.08897663898746833,8.897663898746833,8897.663898746832,80.62,110
INTC,0.03393846700000001,-0.010102555,0.1,0.7813139743341435,LONG,0.08370535430751307,8.370535430751307,8370.535430751306,43.47,192
BIL,0.032922230319409954,0.00019448512,0.08201384811852488,1.0,LONG,0.08287125147065204,8.287125147065204,8287.125147065204,91.48,90
IEF,-0.008886057277506625,0.000120577024,-0.02239600872976656,0.873266812162776,SHORT,0.048556005864045515,4.8556005864045515,4855.600586404552,96.77,50
AMZN,-0.023387135800000007,0.027688107,-0.1,0.65,SHORT,0.03665386636822109,3.665386636822109,3665.3866368221093,234.42,15
TSLA,-0.02354470256653851,0.010433072,-0.07451136441634627,0.65,SHORT,0.03652453932317832,3.6524539323178318,3652.453932317832,429.24,8
MSFT,-0.030315007000000005,0.016141655,-0.1,0.8841323538679814,SHORT,0.03096763487146711,3.096763487146711,3096.763487146711,490.0,6
AMD,-0.04007518150600001,-0.00012530251,-0.1,0.6608861418609517,SHORT,0.022956716352971494,2.2956716352971496,2295.6716352971494,215.24,10
NVDA,-0.058044703,-0.030074505,-0.1,0.7543737588819899,SHORT,0.008207761565708642,0.8207761565708642,820.7761565708643,181.46,4
